iter	Logloss
0	0.6811886597
1	0.6711356201
2	0.6611902466
3	0.6509425659
4	0.6414230957
5	0.6329177246
6	0.623442749
7	0.6126966553
8	0.6036008301
9	0.5960383301
10	0.5866494141
11	0.5787907104
12	0.5698980713
13	0.561913208
14	0.5542088623
15	0.54649646
16	0.5394023437
17	0.5329643555
18	0.5233754883
19	0.5157648926
20	0.5066527405
21	0.4994927979
22	0.4926766357
23	0.4856694946
24	0.4795259399
25	0.471874054
26	0.4660395508
27	0.4606868591
28	0.4556986084
29	0.4496947937
30	0.4440606384
31	0.4380532227
32	0.4333899536
33	0.428903656
34	0.4231682739
35	0.4169122925
36	0.4120979309
37	0.4073652954
38	0.4025897217
39	0.3978363953
40	0.3927875977
41	0.3869276123
42	0.3822001343
43	0.37584375
44	0.3709038696
45	0.3663746643
46	0.3621827393
47	0.3572774658
48	0.3538336792
49	0.349227478
50	0.3459508057
51	0.3431166382
52	0.3392175903
53	0.3356699829
54	0.3317029419
55	0.3281216431
56	0.3236543579
57	0.3189981689
58	0.3155825806
59	0.3129237671
60	0.3094981079
61	0.3057535706
62	0.3023977966
63	0.2993287048
64	0.2967210693
65	0.2938889465
66	0.2913695679
67	0.2873411255
68	0.2844988098
69	0.2809935608
70	0.2789663696
71	0.2762331238
72	0.2743747559
73	0.2718983459
74	0.2700542603
75	0.2674915771
76	0.2653580322
77	0.2622085266
78	0.259019165
79	0.2567094116
80	0.2533140717
81	0.2512959595
82	0.2494861755
83	0.2472403259
84	0.2454095917
85	0.2434307861
86	0.2411147766
87	0.2393323059
88	0.237309021
89	0.2358398132
90	0.2335217896
91	0.2316893921
92	0.2296423035
93	0.2270677185
94	0.2259202118
95	0.2241933899
96	0.2221334076
97	0.2201795349
98	0.2185283356
99	0.2169367523
100	0.2153138428
101	0.2134013367
102	0.2108927917
103	0.2089473877
104	0.207512619
105	0.2065500488
106	0.2048004456
107	0.2035847015
108	0.2020211029
109	0.2009106445
110	0.1990662994
111	0.1974296112
112	0.1960622406
113	0.1946704712
114	0.1933105469
115	0.192477478
116	0.1911739197
117	0.189205719
118	0.1882404327
119	0.1864362335
120	0.1849994354
121	0.1840474243
122	0.18265802
123	0.1810566559
124	0.1804009094
125	0.1784753265
126	0.1765130615
127	0.1753636017
128	0.1746635437
129	0.1736687622
130	0.1720511322
131	0.1710122681
132	0.1698374023
133	0.1685730591
134	0.1675230408
135	0.1664478607
136	0.1655769501
137	0.1645608826
138	0.1637329865
139	0.1625331116
140	0.1615523529
141	0.16045784
142	0.1593495483
143	0.1584746246
144	0.1576571655
145	0.1567160645
146	0.1560201569
147	0.1547938232
148	0.1541142426
149	0.1528276215
150	0.1513165283
151	0.1502426453
152	0.1495375671
153	0.1488546906
154	0.1482772827
155	0.1473627319
156	0.1465378723
157	0.1460258331
158	0.1455230408
159	0.1447384644
160	0.1437997437
161	0.1431422882
162	0.1424796143
163	0.1418396301
164	0.1412050476
165	0.1404422302
166	0.1396965942
167	0.1393129272
168	0.1387407074
169	0.1382229614
170	0.1377967529
171	0.1372319336
172	0.1361381378
173	0.1355499573
174	0.1352270813
175	0.1344249573
176	0.1338184052
177	0.1327569122
178	0.1320625916
179	0.1311551056
180	0.1302295227
181	0.1295456238
182	0.1290796051
183	0.1286875
184	0.1277508774
185	0.127448143
186	0.1266956482
187	0.1262883224
188	0.1254164734
189	0.1248871994
190	0.124503952
191	0.1240441895
192	0.1232495728
193	0.122774025
194	0.1225447388
195	0.1220767822
196	0.1213975372
197	0.1206380157
198	0.1202682648
199	0.1198204422
200	0.1193324356
201	0.1190598984
202	0.1184240723
203	0.1181427383
204	0.1178188248
205	0.117296402
206	0.116811676
207	0.1164297943
208	0.1159210052
209	0.1154824219
210	0.1149560471
211	0.1146080551
212	0.1142119598
213	0.1135393219
214	0.1130850983
215	0.1126525269
216	0.1123950043
217	0.1119707794
218	0.1116850586
219	0.1113151703
220	0.1110753403
221	0.1107345886
222	0.1101727905
223	0.1097410431
224	0.10954702
225	0.1090273895
226	0.1086004715
227	0.1082692871
228	0.107752182
229	0.1072635651
230	0.1070187073
231	0.1067762146
232	0.1062514496
233	0.1056914368
234	0.1054274139
235	0.1049755325
236	0.1046186981
237	0.1044665833
238	0.1040138092
239	0.1036691589
240	0.1034234924
241	0.1032274704
242	0.1028688812
243	0.1025357361
244	0.1024722137
245	0.1022969208
246	0.1021516266
247	0.1018004303
248	0.1016467209
249	0.1013759918
250	0.1010570145
251	0.1008091431
252	0.1006144257
253	0.1003759613
254	0.099909729
255	0.09946647644
256	0.09912472534
257	0.09872886658
258	0.09842365265
259	0.09808994293
260	0.09794858551
261	0.09755937958
262	0.0972501297
263	0.09705140686
264	0.09668154907
265	0.09644236755
266	0.09611827087
267	0.09576873779
268	0.09543442535
269	0.0952423172
270	0.0948335495
271	0.09459519958
272	0.09446780396
273	0.0942073822
274	0.09400274658
275	0.09369335937
276	0.09352334595
277	0.09323505402
278	0.09300733948
279	0.0928000412
280	0.0924526825
281	0.09239167023
282	0.09204705048
283	0.09165716553
284	0.09158939362
285	0.09132214355
286	0.09090968323
287	0.09069590759
288	0.09059162903
289	0.09045393372
290	0.0901076355
291	0.09001392365
292	0.08968156433
293	0.08960118103
294	0.08910449219
295	0.08886689758
296	0.08868994141
297	0.08866910553
298	0.08844744873
299	0.08809806824
300	0.08784365845
301	0.08758416748
302	0.08753782654
303	0.08733859253
304	0.08703068542
305	0.08682131195
306	0.08661753845
307	0.08656338501
308	0.08642028046
309	0.08628767395
310	0.08590675354
311	0.08585108185
312	0.08545409393
313	0.08521269989
314	0.08510076141
315	0.08503302002
316	0.08484074402
317	0.08462783051
318	0.08449057007
319	0.08443630219
320	0.08426633453
321	0.08391812134
322	0.08380770874
323	0.0834361496
324	0.08325514221
325	0.08317168427
326	0.08299725342
327	0.08281185913
328	0.08264767456
329	0.08250695801
330	0.08223445129
331	0.08207383728
