iter	Passed	Remaining
0	3	3747
1	6	3342
2	9	3232
3	12	3161
4	15	3087
5	18	3066
6	21	3118
7	24	3084
8	27	3057
9	30	3028
10	33	2997
11	36	2981
12	39	2977
13	42	2960
14	44	2952
15	47	2944
16	50	2929
17	53	2918
18	56	2906
19	59	2902
20	62	2893
21	65	2909
22	68	2924
23	71	2923
24	74	2922
25	78	2927
26	81	2929
27	84	2937
28	88	2955
29	91	2963
30	95	2971
31	98	2976
32	101	2980
33	104	2979
34	108	2985
35	111	2996
36	115	2995
37	118	2998
38	121	2988
39	123	2975
40	127	2971
41	130	2965
42	133	2961
43	136	2964
44	139	2963
45	142	2964
46	146	2961
47	149	2966
48	153	2983
49	157	2985
50	160	2982
51	163	2985
52	167	2991
53	170	2993
54	174	3001
55	178	3001
56	184	3052
57	190	3092
58	193	3093
59	198	3107
60	201	3104
61	205	3101
62	208	3100
63	212	3102
64	215	3104
65	219	3103
66	222	3099
67	226	3102
68	230	3105
69	234	3108
70	238	3121
71	243	3140
72	247	3140
73	250	3136
74	254	3137
75	258	3141
76	261	3138
77	265	3135
78	269	3137
79	273	3149
80	277	3150
81	282	3159
82	286	3165
83	290	3172
84	294	3167
85	297	3165
86	301	3167
87	305	3166
88	309	3164
89	312	3158
90	315	3153
91	319	3149
92	322	3143
93	325	3138
94	328	3130
95	331	3123
96	334	3118
97	338	3114
98	341	3112
99	345	3108
100	348	3104
101	351	3098
102	355	3093
103	358	3090
104	362	3087
105	365	3085
106	369	3084
107	373	3086
108	377	3085
109	381	3087
110	384	3083
111	388	3080
112	391	3074
113	395	3074
114	399	3074
115	402	3068
116	405	3063
117	409	3058
118	412	3052
119	415	3048
120	418	3042
121	421	3035
122	425	3030
123	428	3029
124	432	3028
125	436	3025
126	439	3023
127	443	3018
128	446	3016
129	450	3014
130	454	3014
131	460	3025
132	463	3020
133	467	3020
134	471	3018
135	474	3015
136	478	3016
137	482	3012
138	485	3009
139	488	3002
140	491	2996
141	494	2989
142	497	2983
143	501	2978
144	504	2973
145	507	2969
146	510	2964
147	514	2960
148	517	2953
149	520	2948
150	523	2943
151	526	2938
152	530	2934
153	533	2931
154	537	2932
155	541	2931
156	545	2926
157	548	2921
158	551	2918
159	555	2915
160	558	2912
161	562	2909
162	566	2906
163	569	2903
164	572	2898
165	576	2894
166	579	2892
167	582	2887
168	585	2880
169	589	2875
170	592	2870
171	595	2866
172	598	2860
173	601	2854
174	604	2851
175	608	2846
176	610	2840
177	615	2840
178	618	2838
179	621	2832
180	625	2828
181	631	2837
182	636	2840
183	639	2835
184	645	2841
185	648	2838
186	651	2833
187	655	2831
188	659	2828
189	668	2848
190	672	2846
191	676	2848
192	681	2851
193	685	2849
194	690	2851
195	697	2859
196	700	2853
197	703	2848
198	707	2846
199	710	2843
200	713	2837
201	717	2832
202	720	2829
203	725	2829
204	728	2824
205	731	2819
206	734	2815
207	738	2812
208	742	2809
209	745	2804
210	748	2798
211	751	2793
212	756	2795
213	759	2789
214	762	2785
215	770	2796
216	774	2795
217	778	2790
218	781	2788
219	787	2790
220	790	2786
221	794	2783
222	798	2783
223	802	2779
224	805	2775
225	809	2770
226	813	2770
227	818	2770
228	821	2765
229	825	2762
230	829	2760
231	833	2757
232	836	2752
233	839	2747
234	842	2741
235	845	2737
236	848	2733
237	851	2727
238	855	2722
239	858	2717
240	861	2712
241	864	2706
242	867	2700
243	870	2697
244	873	2691
245	876	2686
246	879	2681
247	882	2677
248	886	2672
249	889	2667
250	892	2664
251	896	2661
252	900	2658
253	903	2653
254	906	2649
255	910	2647
256	914	2642
257	917	2638
258	921	2635
259	925	2633
260	929	2631
261	933	2628
262	936	2625
263	940	2620
264	943	2615
265	945	2610
266	948	2604
267	951	2599
268	954	2595
269	958	2590
270	961	2585
271	964	2581
272	967	2576
273	970	2571
274	973	2566
275	976	2562
276	979	2557
277	983	2553
278	986	2548
279	990	2546
280	993	2542
281	997	2538
282	999	2533
283	1003	2530
284	1007	2526
285	1010	2522
286	1014	2519
287	1018	2517
288	1021	2514
289	1027	2515
290	1031	2513
291	1035	2511
292	1041	2512
293	1049	2519
294	1052	2514
295	1055	2509
296	1058	2505
297	1061	2500
298	1064	2496
299	1069	2495
300	1072	2490
301	1079	2495
302	1083	2491
303	1086	2487
304	1089	2481
305	1092	2478
306	1100	2483
307	1104	2481
308	1112	2487
309	1115	2482
310	1119	2479
311	1123	2476
312	1130	2481
313	1134	2478
314	1138	2476
315	1145	2479
316	1149	2475
317	1152	2471
318	1161	2478
319	1165	2477
320	1169	2473
321	1175	2474
322	1179	2472
323	1182	2467
324	1188	2468
325	1192	2466
326	1196	2462
327	1199	2457
328	1205	2457
329	1208	2454
330	1212	2449
331	1215	2445
332	1222	2448
333	1225	2443
334	1228	2439
335	1232	2435
336	1239	2438
337	1242	2433
338	1245	2429
339	1250	2428
340	1254	2425
341	1258	2421
342	1262	2417
343	1267	2417
344	1271	2413
345	1275	2410
346	1279	2407
347	1282	2403
348	1286	2398
349	1290	2395
350	1293	2392
351	1298	2390
352	1302	2386
353	1306	2383
354	1309	2379
355	1313	2375
356	1316	2371
357	1319	2366
358	1323	2363
359	1326	2358
360	1330	2354
361	1334	2351
362	1337	2346
363	1340	2342
364	1344	2338
365	1347	2334
366	1350	2329
367	1354	2325
368	1357	2320
369	1360	2316
370	1363	2311
371	1366	2306
372	1369	2302
373	1373	2298
374	1376	2294
375	1379	2290
376	1383	2286
377	1387	2282
378	1390	2278
379	1394	2275
380	1398	2272
381	1401	2267
382	1404	2262
383	1408	2259
384	1411	2254
385	1415	2250
386	1418	2247
387	1422	2243
388	1425	2239
389	1429	2235
390	1432	2231
391	1436	2227
392	1439	2223
393	1442	2218
394	1445	2214
395	1448	2209
396	1451	2204
397	1454	2200
398	1457	2195
399	1460	2191
400	1463	2186
401	1466	2181
402	1469	2176
403	1472	2172
404	1475	2168
405	1478	2163
406	1482	2159
407	1485	2156
408	1489	2152
409	1493	2148
410	1496	2144
411	1499	2140
412	1503	2137
413	1506	2133
414	1510	2129
415	1515	2127
416	1519	2123
417	1522	2120
418	1526	2116
419	1529	2112
420	1533	2108
421	1536	2104
422	1539	2100
423	1542	2095
424	1545	2091
425	1548	2086
426	1552	2082
427	1555	2078
428	1558	2073
429	1561	2069
430	1564	2065
431	1568	2062
432	1571	2058
433	1575	2054
434	1579	2051
435	1583	2047
436	1586	2043
437	1589	2039
438	1592	2035
439	1596	2031
440	1599	2027
441	1603	2024
442	1607	2021
443	1611	2017
444	1614	2013
445	1618	2010
446	1621	2006
447	1624	2001
448	1627	1997
449	1630	1992
450	1634	1989
451	1637	1984
452	1640	1981
453	1643	1977
454	1646	1972
455	1650	1968
456	1656	1967
457	1659	1963
458	1662	1959
459	1665	1955
460	1670	1953
461	1675	1950
462	1678	1946
463	1682	1943
464	1687	1941
465	1691	1938
466	1695	1934
467	1698	1931
468	1702	1927
469	1706	1924
470	1711	1921
471	1716	1920
472	1720	1917
473	1725	1914
474	1731	1914
475	1736	1911
476	1739	1907
477	1743	1904
478	1747	1900
479	1750	1895
480	1753	1891
481	1756	1887
482	1759	1883
483	1764	1880
484	1767	1876
485	1770	1872
486	1774	1868
487	1778	1866
488	1781	1862
489	1784	1857
490	1788	1853
491	1791	1850
492	1795	1846
493	1798	1842
494	1803	1839
495	1810	1839
496	1813	1835
497	1817	1831
498	1820	1828
499	1824	1824
500	1828	1820
501	1831	1817
502	1835	1813
503	1841	1812
504	1844	1808
505	1848	1804
506	1854	1803
507	1858	1799
508	1862	1796
509	1866	1793
510	1869	1789
511	1873	1785
512	1876	1781
513	1879	1777
514	1882	1772
515	1885	1768
516	1889	1765
517	1892	1760
518	1895	1756
519	1898	1752
520	1901	1748
521	1905	1744
522	1908	1740
523	1911	1736
524	1914	1732
525	1917	1728
526	1920	1724
527	1924	1720
528	1927	1716
529	1931	1712
530	1934	1708
531	1938	1704
532	1941	1700
533	1944	1697
534	1948	1693
535	1952	1690
536	1956	1686
537	1959	1682
538	1962	1678
539	1967	1675
540	1970	1672
541	1974	1668
542	1977	1664
543	1980	1660
544	1984	1656
545	1987	1652
546	1991	1648
547	1993	1644
548	1997	1640
549	2000	1636
550	2003	1632
551	2006	1628
552	2009	1624
553	2012	1620
554	2015	1616
555	2019	1612
556	2023	1609
557	2026	1605
558	2029	1601
559	2032	1597
560	2035	1592
561	2038	1588
562	2041	1584
563	2045	1581
564	2048	1577
565	2051	1573
566	2054	1569
567	2058	1565
568	2062	1562
569	2065	1558
570	2069	1554
571	2073	1551
572	2076	1547
573	2080	1543
574	2083	1540
575	2086	1536
576	2090	1532
577	2093	1528
578	2097	1524
579	2100	1520
580	2103	1516
581	2106	1512
582	2109	1509
583	2113	1505
584	2116	1501
585	2119	1497
586	2122	1493
587	2125	1489
588	2129	1485
589	2132	1481
590	2135	1478
591	2139	1474
592	2141	1469
593	2144	1466
594	2148	1462
595	2151	1458
596	2155	1455
597	2158	1451
598	2161	1447
599	2165	1443
600	2169	1440
601	2172	1436
602	2176	1432
603	2179	1428
604	2182	1424
605	2185	1420
606	2188	1417
607	2191	1413
608	2195	1409
609	2198	1405
610	2201	1401
611	2204	1397
612	2208	1394
613	2211	1390
614	2214	1386
615	2217	1382
616	2220	1378
617	2223	1374
618	2227	1370
619	2230	1367
620	2233	1363
621	2236	1359
622	2240	1355
623	2244	1352
624	2248	1348
625	2251	1345
626	2254	1341
627	2257	1336
628	2260	1333
629	2263	1329
630	2267	1325
631	2270	1322
632	2274	1318
633	2277	1314
634	2280	1310
635	2283	1307
636	2287	1303
637	2290	1299
638	2294	1296
639	2297	1292
640	2300	1288
641	2303	1284
642	2306	1280
643	2309	1276
644	2312	1272
645	2315	1269
646	2319	1265
647	2322	1261
648	2325	1257
649	2329	1254
650	2333	1250
651	2336	1246
652	2339	1243
653	2342	1239
654	2346	1235
655	2349	1232
656	2352	1228
657	2356	1224
658	2359	1221
659	2363	1217
660	2366	1213
661	2370	1210
662	2374	1206
663	2377	1202
664	2380	1199
665	2383	1195
666	2386	1191
667	2389	1187
668	2393	1184
669	2395	1180
670	2399	1176
671	2402	1172
672	2404	1168
673	2408	1164
674	2411	1160
675	2414	1157
676	2417	1153
677	2421	1149
678	2424	1146
679	2428	1142
680	2431	1139
681	2434	1135
682	2438	1131
683	2442	1128
684	2446	1125
685	2450	1121
686	2454	1118
687	2458	1114
688	2462	1111
689	2465	1107
690	2468	1104
691	2471	1100
692	2474	1096
693	2478	1092
694	2481	1088
695	2484	1085
696	2487	1081
697	2491	1077
698	2494	1074
699	2497	1070
700	2500	1066
701	2503	1062
702	2506	1059
703	2510	1055
704	2513	1051
705	2516	1048
706	2520	1044
707	2523	1040
708	2526	1037
709	2529	1033
710	2532	1029
711	2536	1025
712	2539	1022
713	2543	1018
714	2546	1015
715	2550	1011
716	2554	1008
717	2558	1004
718	2561	1001
719	2564	997
720	2567	993
721	2570	989
722	2573	986
723	2576	982
724	2579	978
725	2583	974
726	2585	971
727	2588	967
728	2591	963
729	2594	959
730	2597	955
731	2600	952
732	2604	948
733	2607	945
734	2611	941
735	2615	938
736	2618	934
737	2621	930
738	2624	927
739	2628	923
740	2632	920
741	2636	916
742	2640	913
743	2644	910
744	2648	906
745	2652	903
746	2656	899
747	2659	896
748	2662	892
749	2666	888
750	2669	885
751	2673	881
752	2676	877
753	2679	874
754	2682	870
755	2686	867
756	2689	863
757	2692	859
758	2695	855
759	2698	852
760	2701	848
761	2704	844
762	2708	841
763	2714	838
764	2717	834
765	2721	831
766	2724	827
767	2728	824
768	2732	820
769	2735	817
770	2739	813
771	2743	810
772	2747	806
773	2751	803
774	2754	799
775	2758	796
776	2761	792
777	2764	788
778	2767	785
779	2770	781
780	2773	777
781	2776	774
782	2780	770
783	2783	766
784	2786	763
785	2789	759
786	2792	755
787	2795	752
788	2799	748
789	2802	744
790	2806	741
791	2810	738
792	2813	734
793	2816	730
794	2819	726
795	2822	723
796	2826	719
797	2829	716
798	2833	712
799	2836	709
800	2840	705
801	2843	702
802	2847	698
803	2850	694
804	2854	691
805	2857	687
806	2860	684
807	2863	680
808	2866	676
809	2870	673
810	2873	669
811	2876	665
812	2879	662
813	2883	658
814	2886	655
815	2889	651
816	2892	647
817	2896	644
818	2899	640
819	2903	637
820	2906	633
821	2909	630
822	2912	626
823	2915	622
824	2919	619
825	2922	615
826	2926	612
827	2929	608
828	2933	605
829	2937	601
830	2940	598
831	2943	594
832	2947	590
833	2950	587
834	2953	583
835	2956	579
836	2959	576
837	2962	572
838	2966	569
839	2969	565
840	2972	562
841	2976	558
842	2979	554
843	2982	551
844	2986	547
845	2989	544
846	2992	540
847	2996	537
848	2999	533
849	3003	529
850	3006	526
851	3009	522
852	3014	519
853	3017	515
854	3022	512
855	3026	509
856	3031	505
857	3034	502
858	3037	498
859	3040	495
860	3044	491
861	3048	488
862	3051	484
863	3055	480
864	3059	477
865	3062	473
866	3065	470
867	3069	466
868	3072	463
869	3075	459
870	3079	456
871	3082	452
872	3085	448
873	3088	445
874	3092	441
875	3095	438
876	3098	434
877	3100	430
878	3103	427
879	3107	423
880	3110	420
881	3113	416
882	3116	412
883	3119	409
884	3123	405
885	3126	402
886	3129	398
887	3133	395
888	3136	391
889	3139	388
890	3143	384
891	3146	380
892	3150	377
893	3154	373
894	3157	370
895	3160	366
896	3164	363
897	3168	359
898	3171	356
899	3175	352
900	3178	349
901	3182	345
902	3185	342
903	3190	338
904	3193	335
905	3196	331
906	3199	328
907	3203	324
908	3206	321
909	3209	317
910	3211	313
911	3214	310
912	3217	306
913	3221	303
914	3224	299
915	3227	295
916	3230	292
917	3233	288
918	3236	285
919	3238	281
920	3241	278
921	3244	274
922	3247	270
923	3250	267
924	3253	263
925	3256	260
926	3260	256
927	3263	253
928	3266	249
929	3270	246
930	3273	242
931	3276	239
932	3280	235
933	3284	232
934	3287	228
935	3291	225
936	3293	221
937	3297	217
938	3301	214
939	3305	210
940	3309	207
941	3312	203
942	3315	200
943	3320	196
944	3325	193
945	3329	190
946	3333	186
947	3338	183
948	3343	179
949	3346	176
950	3350	172
951	3353	169
952	3356	165
953	3359	161
954	3362	158
955	3365	154
956	3369	151
957	3372	147
958	3375	144
959	3378	140
960	3382	137
961	3386	133
962	3389	130
963	3392	126
964	3396	123
965	3400	119
966	3404	116
967	3407	112
968	3411	109
969	3414	105
970	3418	102
971	3422	98
972	3426	95
973	3429	91
974	3433	88
975	3436	84
976	3439	80
977	3442	77
978	3446	73
979	3450	70
980	3453	66
981	3456	63
982	3459	59
983	3463	56
984	3466	52
985	3470	49
986	3474	45
987	3477	42
988	3481	38
989	3484	35
990	3487	31
991	3491	28
992	3496	24
993	3500	21
994	3503	17
995	3507	14
996	3511	10
997	3514	7
998	3518	3
999	3521	0
